"activity" "subjectid" "means" "measures"
"WALKING" 1 0.274347260646063 "tBodyAcc-mean()-X"
"WALKING" 1 -0.0177434918458972 "tBodyAcc-mean()-Y"
"WALKING" 1 -0.108925032737064 "tBodyAcc-mean()-Z"
"WALKING" 1 -0.607783818968688 "tBodyAcc-std()-X"
"WALKING" 1 -0.510191378479501 "tBodyAcc-std()-Y"
"WALKING" 1 -0.61306429934125 "tBodyAcc-std()-Z"
"WALKING" 1 0.669226222373046 "tGravityAcc-mean()-X"
"WALKING" 1 0.00403879092060517 "tGravityAcc-mean()-Y"
"WALKING" 1 0.0921508600211059 "tGravityAcc-mean()-Z"
"WALKING" 1 -0.965207115039421 "tGravityAcc-std()-X"
"WALKING" 1 -0.95440802665318 "tGravityAcc-std()-Y"
"WALKING" 1 -0.938900969424022 "tGravityAcc-std()-Z"
"WALKING" 1 0.0789381220355816 "tBodyAccJerk-mean()-X"
"WALKING" 1 0.0079481069090025 "tBodyAccJerk-mean()-Y"
"WALKING" 1 -0.00467469823628666 "tBodyAccJerk-mean()-Z"
"WALKING" 1 -0.63978102073413 "tBodyAccJerk-std()-X"
"WALKING" 1 -0.607971599340832 "tBodyAccJerk-std()-Y"
"WALKING" 1 -0.762820240449202 "tBodyAccJerk-std()-Z"
"WALKING" 1 -0.0309824871713436 "tBodyGyro-mean()-X"
"WALKING" 1 -0.0747194855994359 "tBodyGyro-mean()-Y"
"WALKING" 1 0.088357304227173 "tBodyGyro-mean()-Z"
"WALKING" 1 -0.721192598029789 "tBodyGyro-std()-X"
"WALKING" 1 -0.682653506899942 "tBodyGyro-std()-Y"
"WALKING" 1 -0.653665674372188 "tBodyGyro-std()-Z"
"WALKING" 1 -0.0967092754729682 "tBodyGyroJerk-mean()-X"
"WALKING" 1 -0.0423181079782632 "tBodyGyroJerk-mean()-Y"
"WALKING" 1 -0.0548303497968374 "tBodyGyroJerk-mean()-Z"
"WALKING" 1 -0.731348533131935 "tBodyGyroJerk-std()-X"
"WALKING" 1 -0.786062320321895 "tBodyGyroJerk-std()-Y"
"WALKING" 1 -0.739932395222129 "tBodyGyroJerk-std()-Z"
"WALKING" 1 -0.54822165976717 "tBodyAccMag-mean()"
"WALKING" 1 -0.591225327146546 "tBodyAccMag-std()"
"WALKING" 1 -0.54822165976717 "tGravityAccMag-mean()"
"WALKING" 1 -0.591225327146546 "tGravityAccMag-std()"
"WALKING" 1 -0.649417950650692 "tBodyAccJerkMag-mean()"
"WALKING" 1 -0.627762945785391 "tBodyAccJerkMag-std()"
"WALKING" 1 -0.60524856977632 "tBodyGyroMag-mean()"
"WALKING" 1 -0.662533062898382 "tBodyGyroMag-std()"
"WALKING" 1 -0.762137610987416 "tBodyGyroJerkMag-mean()"
"WALKING" 1 -0.77799317279698 "tBodyGyroJerkMag-std()"
"WALKING" 1 -0.622761658493734 "fBodyAcc-mean()-X"
"WALKING" 1 -0.53749328145871 "fBodyAcc-mean()-Y"
"WALKING" 1 -0.665033506271952 "fBodyAcc-mean()-Z"
"WALKING" 1 -0.603356276555826 "fBodyAcc-std()-X"
"WALKING" 1 -0.528420009576204 "fBodyAcc-std()-Y"
"WALKING" 1 -0.617874813333395 "fBodyAcc-std()-Z"
"WALKING" 1 -0.2214691368263 "fBodyAcc-meanFreq()-X"
"WALKING" 1 0.015400588735675 "fBodyAcc-meanFreq()-Y"
"WALKING" 1 0.0473098698476722 "fBodyAcc-meanFreq()-Z"
"WALKING" 1 -0.656713524546605 "fBodyAccJerk-mean()-X"
"WALKING" 1 -0.628961179980356 "fBodyAccJerk-mean()-Y"
"WALKING" 1 -0.743608246170053 "fBodyAccJerk-mean()-Z"
"WALKING" 1 -0.654979816705833 "fBodyAccJerk-std()-X"
"WALKING" 1 -0.612243590244114 "fBodyAccJerk-std()-Y"
"WALKING" 1 -0.780928428167213 "fBodyAccJerk-std()-Z"
"WALKING" 1 -0.0477062917542325 "fBodyAccJerk-meanFreq()-X"
"WALKING" 1 -0.213392904926883 "fBodyAccJerk-meanFreq()-Y"
"WALKING" 1 -0.123828014584147 "fBodyAccJerk-meanFreq()-Z"
"WALKING" 1 -0.672094306818974 "fBodyGyro-mean()-X"
"WALKING" 1 -0.70621663959074 "fBodyGyro-mean()-Y"
"WALKING" 1 -0.644192752866115 "fBodyGyro-mean()-Z"
"WALKING" 1 -0.738594816501343 "fBodyGyro-std()-X"
"WALKING" 1 -0.674226934551517 "fBodyGyro-std()-Y"
"WALKING" 1 -0.690446312501126 "fBodyGyro-std()-Z"
"WALKING" 1 -0.101042702224631 "fBodyGyro-meanFreq()-X"
"WALKING" 1 -0.174277577553958 "fBodyGyro-meanFreq()-Y"
"WALKING" 1 -0.0513928953203266 "fBodyGyro-meanFreq()-Z"
"WALKING" 1 -0.585962696268539 "fBodyAccMag-mean()"
"WALKING" 1 -0.659531216655476 "fBodyAccMag-std()"
"WALKING" 1 0.0768760112631957 "fBodyAccMag-meanFreq()"
"WALKING" 1 -0.620789916331592 "fBodyBodyAccJerkMag-mean()"
"WALKING" 1 -0.640076803144351 "fBodyBodyAccJerkMag-std()"
"WALKING" 1 0.173219742700723 "fBodyBodyAccJerkMag-meanFreq()"
"WALKING" 1 -0.697411069729937 "fBodyBodyGyroMag-mean()"
"WALKING" 1 -0.699976372277643 "fBodyBodyGyroMag-std()"
"WALKING" 1 -0.0415636227771787 "fBodyBodyGyroMag-meanFreq()"
"WALKING" 1 -0.779767633083527 "fBodyBodyGyroJerkMag-mean()"
"WALKING" 1 -0.792190209274884 "fBodyBodyGyroJerkMag-std()"
"WALKING" 1 0.126707820497791 "fBodyBodyGyroJerkMag-meanFreq()"
"WALKING" 2 0.274347260646063 "tBodyAcc-mean()-X"
"WALKING" 2 -0.0177434918458972 "tBodyAcc-mean()-Y"
"WALKING" 2 -0.108925032737064 "tBodyAcc-mean()-Z"
"WALKING" 2 -0.607783818968688 "tBodyAcc-std()-X"
"WALKING" 2 -0.510191378479501 "tBodyAcc-std()-Y"
"WALKING" 2 -0.61306429934125 "tBodyAcc-std()-Z"
"WALKING" 2 0.669226222373046 "tGravityAcc-mean()-X"
"WALKING" 2 0.00403879092060517 "tGravityAcc-mean()-Y"
"WALKING" 2 0.0921508600211059 "tGravityAcc-mean()-Z"
"WALKING" 2 -0.965207115039421 "tGravityAcc-std()-X"
"WALKING" 2 -0.95440802665318 "tGravityAcc-std()-Y"
"WALKING" 2 -0.938900969424022 "tGravityAcc-std()-Z"
"WALKING" 2 0.0789381220355816 "tBodyAccJerk-mean()-X"
"WALKING" 2 0.0079481069090025 "tBodyAccJerk-mean()-Y"
"WALKING" 2 -0.00467469823628666 "tBodyAccJerk-mean()-Z"
"WALKING" 2 -0.63978102073413 "tBodyAccJerk-std()-X"
"WALKING" 2 -0.607971599340832 "tBodyAccJerk-std()-Y"
"WALKING" 2 -0.762820240449202 "tBodyAccJerk-std()-Z"
"WALKING" 2 -0.0309824871713436 "tBodyGyro-mean()-X"
"WALKING" 2 -0.0747194855994359 "tBodyGyro-mean()-Y"
"WALKING" 2 0.088357304227173 "tBodyGyro-mean()-Z"
"WALKING" 2 -0.721192598029789 "tBodyGyro-std()-X"
"WALKING" 2 -0.682653506899942 "tBodyGyro-std()-Y"
"WALKING" 2 -0.653665674372188 "tBodyGyro-std()-Z"
"WALKING" 2 -0.0967092754729682 "tBodyGyroJerk-mean()-X"
"WALKING" 2 -0.0423181079782632 "tBodyGyroJerk-mean()-Y"
"WALKING" 2 -0.0548303497968374 "tBodyGyroJerk-mean()-Z"
"WALKING" 2 -0.731348533131935 "tBodyGyroJerk-std()-X"
"WALKING" 2 -0.786062320321895 "tBodyGyroJerk-std()-Y"
"WALKING" 2 -0.739932395222129 "tBodyGyroJerk-std()-Z"
"WALKING" 2 -0.54822165976717 "tBodyAccMag-mean()"
"WALKING" 2 -0.591225327146546 "tBodyAccMag-std()"
"WALKING" 2 -0.54822165976717 "tGravityAccMag-mean()"
"WALKING" 2 -0.591225327146546 "tGravityAccMag-std()"
"WALKING" 2 -0.649417950650692 "tBodyAccJerkMag-mean()"
"WALKING" 2 -0.627762945785391 "tBodyAccJerkMag-std()"
"WALKING" 2 -0.60524856977632 "tBodyGyroMag-mean()"
"WALKING" 2 -0.662533062898382 "tBodyGyroMag-std()"
"WALKING" 2 -0.762137610987416 "tBodyGyroJerkMag-mean()"
"WALKING" 2 -0.77799317279698 "tBodyGyroJerkMag-std()"
"WALKING" 2 -0.622761658493734 "fBodyAcc-mean()-X"
"WALKING" 2 -0.53749328145871 "fBodyAcc-mean()-Y"
"WALKING" 2 -0.665033506271952 "fBodyAcc-mean()-Z"
"WALKING" 2 -0.603356276555826 "fBodyAcc-std()-X"
"WALKING" 2 -0.528420009576204 "fBodyAcc-std()-Y"
"WALKING" 2 -0.617874813333395 "fBodyAcc-std()-Z"
"WALKING" 2 -0.2214691368263 "fBodyAcc-meanFreq()-X"
"WALKING" 2 0.015400588735675 "fBodyAcc-meanFreq()-Y"
"WALKING" 2 0.0473098698476722 "fBodyAcc-meanFreq()-Z"
"WALKING" 2 -0.656713524546605 "fBodyAccJerk-mean()-X"
"WALKING" 2 -0.628961179980356 "fBodyAccJerk-mean()-Y"
"WALKING" 2 -0.743608246170053 "fBodyAccJerk-mean()-Z"
"WALKING" 2 -0.654979816705833 "fBodyAccJerk-std()-X"
"WALKING" 2 -0.612243590244114 "fBodyAccJerk-std()-Y"
